" 1. CIRCULACION NACIONAL E INTERNACIONAL Desarrollar acciones que fortalezcan el ámbito de la circulación regional, nacional e internacional de las prácticas artísticas y saberes culturales.",,,,,,,,,,,,,,,,,
 ACTIVIDAD, DESCRIPCIÓN, VALOR UNITARIO, VALOR NETO, COSTOS OPERATIVOS 7%, VALOR TOTAL,, ORIENTADOR, SOLICITUD, VALOR COMPROMETIDO,COMITE,PROCESO,RUT IVA,OBSERVACIONES,,,,
JOHANA CARVAJAL ARBOLEDA, APOYO PARTICIPACION LONDRES ESCRITORA,  8.452.426 ,  8.452.426 ,  591.670 ,  9.044.096 , YUL, EMERSON , ´090,  8.452.426 ,15 SEPTIEMBRE 2025,CIRCULACIÓN Persona natural,n/a,"No se evidencian pagos, el tiquete ni la factura, falta informes final",,,,
CORPORACIÓN DINASTÍA NEGRA, FESTIVAL DE DANZA DE URABÁ-RED DE DANZA,  40.000.000 ,  40.000.000 ,  2.800.000 ,  42.800.000 , CES, JEIMMY, ´092,  40.000.000 ,17 SEPTIEMBRE 2025,"CIRCULACION, MEMORIA Y FORMACION: Fortalecer el trabajo en red de los procesos de danza en Urabá mediante la realización del Segundo Encuentro de Saberes en Red – FESTIREDU 2025, como una plataforma para el intercambio de experiencias, formación, circulación, memoria, investigación y proyección del arte como herramienta transformadora de la región. 
Dinamizar una programación artística y pedagógica que visibilice las diversidades técnicas y estéticas de la danza en Urabá, por medio del Festival FESTIREDU 2025, Circulación, puesta en escena al público, donde prima la creatividad, el arte y el espectáculo público.
 El FESTIREDU 2025 beneficiará de manera directa e indirecta a una amplia diversidad de actores del ecosistema cultural del Urabá antioqueño, desde bailarines y formadores hasta gestores, colectivos comunitarios e instituciones de apoyo. La propuesta está diseñada para generar impacto en los participantes activos y, al mismo tiempo, fortalecer el tejido cultural del territorio a través de la circulación, la formación, la visibilización y la gestión en red. En su componente de beneficiarios directos, se priorizará la participación de 120 bailarines y formadores de danza, jóvenes y adultos de los once municipios de la región, quienes accederán a talleres de técnica e interpretación, acompañamiento pedagógico, uso de bitácoras creativas y certificación de participación, garantizando criterios de equidad por municipio, género, etnia y enfoque diferencial. A este grupo se suman 15 gestores culturales y líderes comunitarios —formadores, directores de colectivos, representantes juveniles, líderes afrodescendientes y educadores artísticos— que fortalecerán sus capacidades en los talleres de gestión cultural, promoviendo la sostenibilidad organizativa y la proyección en red de sus procesos. También participarán dos expertos nacionales en danza, políticas públicas y sostenibilidad cultural, invitados estratégicos que aportarán metodologías y miradas de alcance nacional a través de paneles, talleres y asesorías técnicas.
 Excluidos de IVA según: LEY 1493 DE 2011 -  ARTÍCULO  6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 

ARTÍCULO  3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.",No registra responsabilidad de Iva,"No se evidencian pagos, contratos y actas de inicio",,,,
LANZAMIENTO ARTES PARA LA PAZ - EVENTO ITSMINA CHOCO (TRANSPORTES PACIFICO S.A.), TRASPORTES ISMINA CHOCO,  3.200.000 ,  3.200.000 ,  224.000 ,  3.424.000 , CES, EMERSON , ´093,  3.200.000 ,17 SEPTIEMBRE 2025,CIRCULACIÓN Persona natural,n/a,No se evidencian pagos,,,,
LEANY MISLENA  LAULATE CASTILLO, SAN BASILIO DE PALENQUE DE PUERTO NARIÑO,  4.000.000 ,  4.000.000 ,  280.000 ,  4.280.000 , TIQ, EMERSON, ´094,  4.000.000 ,17 SEPTIEMBRE 2025,CIRCULACIÓN Persona natural,n/a,"No se evidencian pagos, falta registro documental",,,,
CORPORACIÓN kUYAY-PEREIRA, FESTIVAL POLICROMÍA,  30.000.000 ,  30.000.000 ,  2.100.000 ,  32.100.000 , CES, JEIMMY, ´103,  30.000.000 ,30 SEPTIEMBRE 2025,"CIRCULACION: Consolidar el Festival Pereira Querendona como un escenario de articulación del arte urbano en Pereira y el Eje Cafetero, conmemorando los 10 años de su existencia, mediante acciones de encuentro, formación, circulación y reflexión que fortalezcan el tejido colaborativo, promuevan condiciones dignas de participación y generen diálogos entre comunidad, artistas e institucionalidad.
Propiciar el encuentro y la colaboración entre artistas, colectivos y gestores culturales locales, regionales y de la red intercultural, a través de la realización de un evento conmemorativo por los 10 años del Festival Pereira Querendona. Este evento tendrá como atractivo central una batalla de estilos con participación de artistas del Eje Cafetero, y se complementará con presentaciones de break dance y rap que visibilicen la diversidad del hip hop y el arte urbano. De igual manera, será un escenario de circulación para artistas vinculados a la red, fomentando el intercambio, la proyección de nuevas propuestas y el fortalecimiento de lazos entre los diferentes actores culturales.
 Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.",48 - Impuesto sobre las ventas Iva,"No se evidencian pagos, no se evidencia acta de inicio ni contrato",,,,
LANZAMIENTO ARTES PARA LA PAZ, ARTES PARA LA PAZ,,  53.200.000 ,  3.724.000 ,  56.924.000 , YUL, EMERSON , ´106,  53.200.000 ,30 SEPTIEMBRE 2025,CIRCULACIÓN,n/a,"No se evidencian contratos, ni pagos",,,,
FUNDACION PACIFICA CULTURAL,CACEROLAZO SINFÓNICO,  90.000.000 ,  90.000.000 ,  6.300.000 ,  96.300.000 , CES, JEIMMY, ´107,  90.000.000 ,8 OCTUBRE 2025,"CIRCULACION, CREACION: CIRCULACION: Llevar a cabo un proceso de creación e interpretación sinfónico-coral que articule la memoria sonora del Estallido Social del 2021 con la participación comunitaria de la población víctima de la represión estatal en el 2021, democratizando el acceso a la música sinfónica y generando oportunidades de desarrollo profesional para jóvenes músicos en la ciudad de Cali.
Promover la creación de (1) una obra/canción en el marco de la paz, por medio de la realización de 3 Laboratorios de creación musical/letra de canciones, dirigido a 3 comunidades afectadas por la represión estatal en Cali (Procesos universitario u organizativos, Primeras líneas y víctimas de lesiones mutilantes o fallecidas durante el estallido social del 2021), cada comunidad integrada por 15 participantes, además de salvaguardar la memoria sonora identitaria del Estallido Social de 2021 desde la elaboración de 5 arreglos sinfónico corales del repertorio musical representativo durante el Estallido Social en Cali, interpretado por el cacerolazo sinfónico Cali.
Fomentar la participación profesional a 50 jóvenes músicos sinfónicos por medio de su contratación para la realización de 2 Conciertos en la ciudad de Cali, y la grabación de 5 canciones sinfónico-corales del repertorio musical representativo durante el estallido social y la canción producto de los laboratorios de creación musical, articulando el repertorio y las narrativas de los conciertos sinfónicos con la memoria histórica y los procesos de reconciliación social.
 Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.
",48 - Impuesto sobre las ventas Iva,"No se evidencian pagos, contratos y actas de inicio",,,,
CORPORACIÓN ARTÍSTICA Y CULTURAL HUELLAS DE MI TIERRA ,CORPOHUELLA CUCUTA -FESTIVAL BARI ROCK,  80.000.000 ,  80.000.000 ,  5.600.000 ,  85.600.000 , CES, JEIMMY, ´115,  80.000.000 ,8 OCTUBRE 2025,"CIRCULACION: Promover la cultura musical y el desarrollo artístico en Norte de Santander mediante la realización del Barirock Festival, fortaleciendo la identidad regional, fomentando la participación ciudadana y dinamizando la economía local a través de un evento cultural de gran impacto.
Fomentar la participación de artistas locales y regionales, brindándoles un espacio de difusión y crecimiento a través de presentaciones de música al aire libre, gratuitas y abiertas a todo público, con transmisiones en vivo desde las redes sociales de la entidad proponente y la sala teatral.
 Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.",48 - Impuesto sobre las ventas Iva,"No se evidencian pagos, actas de inicio y facturas",,,,
FUNDACIÓN CULTURAL PARA LA TRANSFORMACIÓN SOCIAL, MAESTRO RICHI -RICARDO SÁNCHEZ,  40.000.000 ,  40.000.000 ,  2.800.000 ,  42.800.000 , MON, MONICA, ´121,  40.000.000 ,16 OCTUBRE 2025,"CIRCULACION:  Desarrollar dos funciones de la obra interdisciplinaria ""Desplazados"" por el equipo de PUD Dance Company en el Teatro Libre sede centro de Bogotá, permitiendo la entrada libre y gratuita a los asistentes. 
Coordinar la producción técnica y artística necesaria para la presentación de la obra Desplazados, garantizando la calidad escénica, sonora y visual en el Teatro Libre sede centro.
Fortalecer la visibilidad del trabajo interdisciplinario de PUD Dance Company, promoviendo la integración entre danza, teatro y música en un montaje de carácter social y contemporáneo; y divulgación del proyecto.
 Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.
",NO CUENTA CON RUT,"No se evidencian pagos, contratos ni acta de inicio ni facturas, no se evidencia el RUT",, TRAMITANDO PAGO ,,
 SUB TOTAL,,,  674.711.787 ,  47.229.825 ,  721.941.612 ,,,,  674.711.787 ,0,,,,,,,
" 2. CULTURA FESTIVA DEL TERRITORIO Procesos, experiencias e iniciativas de la Cultura Festiva en los territorios del país. ",,,,,,,,,,,,,,,,,
 ACTIVIDAD, DESCRIPCIÓN, VALOR UNITARIO, VALOR NETO, COSTOS OPERATIVOS 7%, VALOR TOTAL,,, SOLICITUD, VALOR COMPROMETIDO,COMITE,,,,,,,
CORPORACIÓN DE ARTE Y POESÍA PROMETEO - FESTIVAL INTERNACIONAL DE POESIA MEDELLIN, PROYECTO PARA EL FORTALECIMIENTO DEL COMPONENTE DE FORMACIÓN DEL FESTIVAL DE POESIA MEDELLIN,  150.000.000 ,  150.000.000 ,  10.500.000 ,  160.500.000 , MON, MONICA, ´008,  150.000.000 ,20 DE MAYO 2025,"CIRCULACION:  El Festival Internacional de Poesía de Medellín ha sido, por más de tres décadas, un referente cultural y un espacio de resistencia poética en Colombia y el mundo. Su carácter abierto, plural y profundamente humano lo ha posicionado como una experiencia colectiva de transformación simbólica frente a contextos marcados por la violencia, la exclusión y el empobrecimiento del espíritu.
Fortalecer el componente pedagógico del Festival representa hoy una apuesta esencial por ampliar su alcance formativo y político, promoviendo el pensamiento crítico y generando procesos de apropiación significativa del lenguaje poético en diversos sectores de la sociedad. Esta propuesta contempla el desarrollo de 10 talleres, 5 paneles temáticos, 7 diálogos o conversatorios, 2 tertulias y 5 ciclos de talleres en instituciones educativas, orientados a cualificar el saber sobre la poesía, entendida no solo como una práctica literaria, sino como una forma de pensamiento, una manera de mirar el mundo y de asumir colectivamente la realidad.

Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 
ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.
",48 - Impuesto sobre las ventas Iva,"No se evidencia segundo pago, informes aprobados para pago y pendiente de trasferencia y documentos financieros no se evidencias para segundo pago",,,,
FUNDACION ACADEMICA DE MUSICA CONTEMPORANEA Y SOCIAL DECUPLUM  - EVAFE 2025, PROYECTO ENCUENTRO DE VOCES Y ACORDEONES FEMENINO EVAFE,  50.000.000 ,  50.000.000 ,  3.500.000 ,  53.500.000 , MON, MONICA, ´012,  50.000.000 ,20 DE MAYO 2025,"CIRCULACION:  Fortalecer la equidad de género en el folclor vallenato a través de procesos integrales de formación, circulación y visibilización de mujeres portadoras de esta manifestación cultural, como una estrategia de salvaguardia activa y transformación estructural del patrimonio cultural inmaterial, en articulación con las políticas nacionales de inclusión, equidad y diversidad.
El Festival Vallenato Femenino – EVAFE, único escenario en el país que, desde 2016, visibiliza de forma sistemática y sostenida el talento de las mujeres en este campo. Así, no se trata solo de formar artistas, sino de contribuir activamente a la construcción de legado, al rompimiento de barreras históricas y a la salvaguardia viva de la música vallenata desde una perspectiva inclusiva, equitativa y transformadora.

Excluidos de IVA según: LEY 1493 DE 2011 - ARTÍCULO 6º. Servicios artísticos excluidos del IVA. Están excluidos del IVA los espectáculos públicos de las artes escénicas, así como los servicios artísticos prestados para la realización de los espectáculos públicos de las artes escénicas definidos en el literal c) del artículo 3º de la presente ley. 

ARTÍCULO 3º. Definiciones: Para los efectos de esta ley se entenderá: c) Servicios artísticos de espectáculos públicos de las artes escénicas. Son las actividades en las que prima la creatividad y el arte, prestadas para la realización del espectáculo público de las artes escénicas.
",No registra responsabilidad de Iva,"No se evidencia segundo pago, informes presentados para pago, falta aprobaciones",,,,
CATHERIN JULIETH ASIS CANTILLO - AGRUPACIÓN DE DANZA RITMO CARIBE, ESTIMULO POR PARTICIPAR EN EL DESFILE 20 DE JULIO,  8.850.000 ,  8.850.000 ,  619.500 ,  9.469.500 , YUL, YULLI, ´017,  8.850.000 ,20 DE MAYO 2025,CIRCULACIÓN,Proceso finalizado,Proceso finalizado,,,,
JAILER DANIEL FONTALVO SARMIENTO -AGRUPACIÓN MUSICAL PAPAYEBRAS, ESTIMULO POR PARTICIPAR EN EL DESFILE 20 DE JULIO,  25.000.000 ,  25.000.000 ,  1.750.000 ,  26.750.000 , YUL, YULLI, ´018,  25.000.000 ,20 DE MAYO 2025,CIRCULACIÓN,Proceso finalizado,Proceso finalizado,,,,
"JEFFERSON DAVID SALCEDO DOMINGUEZ -AGRUPACIÓN DANZADANZAS FOLCLÓRICAS
BATATA DANZAMOS CON EL CORAZÓN PARA MANTENER VIVA LA TRADICIÓN", ESTIMULO POR PARTICIPAR EN EL DESFILE 20 DE JULIO,  6.000.000 ,  6.000.000 ,  420.000 ,  6.420.000 , YUL, YULLI, ´019,  6.000.000 ,20 DE MAYO 2025,CIRCULACIÓN,Proceso finalizado,Proceso finalizado,,,,
HERIBERTO ENRIQUE VASQUEZ DANIELS -Descendencia Folclórica, ESTIMULO POR PARTICIPAR EN EL DESFILE 20 DE JULIO,  7.000.000 ,  7.000.000 ,  490.000 ,  7.490.000 , YUL, YULLI, ´020,  7.000.000 ,20 DE MAYO 2025,CIRCULACIÓN,Proceso finalizado,Proceso finalizado,,,,
FUNDACION CAMINOS E IDENTIDADES - FUNCEI, ESTIMULO POR PARTICIPAR EN EL DESFILE 20 DE JULIO,  8.000.000 ,  8.000.000 ,  560.000 ,  8.560.000 , YUL, YULLI, ´021,  8.000.000 ,20 DE MAYO 2025,CIRCULACIÓN,Proceso finalizado,Proceso finalizado,,,,
FUNDACION UN MAR DE ARTE Y CULTURA, ESTIMULO POR PARTICIPAR EN EL DESFILE 20 DE JULIO,  20.500.000 ,  20.500.000 ,  1.435.000 ,  21.935.000 , YUL, YULLI, ´022,  20.500.000 ,20 DE MAYO 2025,CIRCULACIÓN,Proceso finalizado,Proceso finalizado,,,,
CARLOS MARIO MORENO JIMENEZ - MARUGENIAL Y LA REVELACION DE PAZ, ESTIMULO POR PARTICIPAR EN EL DESFILE 20 DE JULIO,  7.400.000 ,  7.400.000 ,  518.000 ,  7.918.000 , YUL, YULLI, ´023,  7.400.000 ,20 DE MAYO 2025,CIRCULACIÓN,Proceso finalizado,Proceso finalizado,,,,
CORPORACION YAWARO RECORDS -CORPORACION YAWARO RECORDS, ESTIMULO POR PARTICIPAR EN EL DESFILE 20 DE JULIO,  28.000.000 ,  28.000.000 ,  1.960.000 ,  29.960.000 , YUL, YULLI, ´024,  28.000.000 ,20 DE MAYO 2025,CIRCULACIÓN,Proceso finalizado,Proceso finalizado,,,,
MARLON JOSE PEROZA MARTINEZ -GAITEROS DE PUEBLO SANTO, ESTIMULO POR PARTICIPAR EN EL DESFILE 20 DE JULIO,  14.000.000 ,  14.000.000 ,  980.000 ,  14.980.000 , YUL, YULLI, ´025,  14.000.000 ,20 DE MAYO 2025,CIRCULACIÓN,Proceso finalizado,Proceso finalizado,,,,
LEWIS VARGAS CABARCAS -TEAMS CARTAGENA, ESTIMULO POR PARTICIPAR EN EL DESFILE 20 DE JULIO,  4.500.000 ,  4.500.000 ,  315.000 ,  4.815.000 , YUL, YULLI, ´026,  4.500.000 ,20 DE MAYO 2025,CIRCULACIÓN,Proceso finalizado,Proceso finalizado,,,,
"KANDIMAKU BUSINTANA BAYONA IZQUIERDO -“EL GUARDIAN"" ", ESTIMULO POR PARTICIPAR EN EL DESFILE 20 DE JULIO,  5.000.000 ,  5.000.000 ,  350.000 ,  5.350.000 , YUL, YULLI, ´027,  5.000.000 ,20 MAYO 2025,CIRCULACIÓN,Proceso finalizado,Proceso finalizado,,,,
FUNDACION AFROCOLOMBIANA LOS COLORES Y SABORES ETNICOS - DANZA Y TAMBORA, ESTIMULO POR PARTICIPAR EN EL DESFILE 20 DE JULIO,  7.000.000 ,  7.000.000 ,  490.000 ,  7.490.000 , YUL, YULLI, ´028,  7.000.000 ,20 MAYO 2025,CIRCULACIÓN,Proceso finalizado,Proceso finalizado,,,,
